tag,model,y_mode,repeat,fold,spearman,pearson,mae,rmse,n,target,members
SEQ_SIMPLE,Ridge_grid,raw,3,4,0.3804347826086957,0.5020906366199682,0.5164299508046076,0.6246427261962868,23.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,3,4,0.29446640316205536,0.4235878751592118,0.5169496636103237,0.6282569834551998,23.0,HIC,
SEQ_SIMPLE,PLS,raw,3,4,0.30830039525691705,0.4441590491157032,0.539897470859403,0.6761211730427388,23.0,HIC,
SEQ_CDR,Ridge_grid,raw,0,0,0.44285714285714284,0.4301142634682755,0.664331752331133,0.8687651068545367,35.0,HIC,
SEQ_CDR,ElasticNet,raw,0,0,0.5014005602240897,0.4624897398596228,0.49983407682643133,0.7140705987134268,35.0,HIC,
SEQ_CDR,PLS,raw,0,0,0.5456582633053222,0.498701092233505,0.5983610825959569,0.7928049899546405,35.0,HIC,
SEQ_CDR,Ridge_grid,raw,0,1,0.37866748608380474,0.28929186305933313,0.7375800538618377,1.0520637843958127,34.0,HIC,
SEQ_CDR,ElasticNet,raw,0,1,0.43963936943628185,0.34625370809404876,0.5208845374806675,0.775113032502405,34.0,HIC,
SEQ_CDR,PLS,raw,0,1,0.4081601514648274,0.3286251265469857,0.6793676442747495,0.9717275957088263,34.0,HIC,
SEQ_CDR,Ridge_grid,raw,0,2,-0.18496240601503755,-0.18277989376676604,1.034590250980569,1.2469369420270935,20.0,HIC,
SEQ_CDR,ElasticNet,raw,0,2,0.3383458646616541,0.30471647413100655,0.5289909910066918,0.6943656350127395,20.0,HIC,
SEQ_CDR,PLS,raw,0,2,-0.03909774436090225,-0.003230066470718329,0.7750622686673099,0.9524448313683622,20.0,HIC,
SEQ_CDR,Ridge_grid,raw,0,3,0.18280632411067196,0.2711408124020667,1.5833686542815515,1.9208110638344609,23.0,HIC,
SEQ_CDR,ElasticNet,raw,0,3,0.5148221343873518,0.4361002757625666,0.5471537578830256,0.7100765775925113,23.0,HIC,
SEQ_CDR,PLS,raw,0,3,0.6343873517786561,0.5019160392455038,0.7382059472853164,0.936591510197401,23.0,HIC,
SEQ_CDR,Ridge_grid,raw,0,4,0.16132750886059555,0.3183739647233544,0.6504093028207236,0.9359180255264496,50.0,HIC,
SEQ_CDR,ElasticNet,raw,0,4,0.27760434689319513,0.49837014583973616,0.6887176755537996,0.8571761614524915,50.0,HIC,
SEQ_CDR,PLS,raw,0,4,0.34325921578644725,0.527334899314603,0.7378705005855459,0.8867627300438768,50.0,HIC,
SEQ_CDR,Ridge_grid,raw,1,0,0.40342298759533674,0.29137145902028033,0.7427211835750827,1.0478391345546592,34.0,HIC,
SEQ_CDR,ElasticNet,raw,1,0,0.4520171201920478,0.3448806704843874,0.526801848117396,0.7763716705436187,34.0,HIC,
SEQ_CDR,PLS,raw,1,0,0.46607580006279437,0.3399092834028564,0.671323318000365,0.9691885224143665,34.0,HIC,
SEQ_CDR,Ridge_grid,raw,1,1,-0.08571428571428572,-0.12963368440813888,1.773530984696339,2.0819436724183924,20.0,HIC,
SEQ_CDR,ElasticNet,raw,1,1,0.40751879699248117,0.3484386505162913,0.5217334173266802,0.6979567930808834,20.0,HIC,
SEQ_CDR,PLS,raw,1,1,0.1789473684210526,0.12904293906371214,0.7728624168330945,0.9682955279847445,20.0,HIC,
SEQ_CDR,Ridge_grid,raw,1,2,0.16132750886059555,0.3183739647233544,0.6504093028207236,0.9359180255264496,50.0,HIC,
