candidate_id,stage,mae_cv_public_median,mae_cv_public_p05,mae_cv_public_p95,mae_cv_public_p_lt0,mae_public_private_median,mae_public_private_p05,mae_public_private_p95,mae_public_private_p_lt0,mae_cv_private_median,mae_cv_private_p05,mae_cv_private_p95,mae_cv_private_p_lt0,pear_cv_public_median,pear_cv_public_p05,pear_cv_public_p95,pear_cv_public_p_lt0,pear_public_private_median,pear_public_private_p05,pear_public_private_p95,pear_public_private_p_lt0,pear_cv_private_median,pear_cv_private_p05,pear_cv_private_p95,pear_cv_private_p_lt0
CAND_00502,screen_1000,0.6,-0.19999999999999998,0.8999999999999998,0.139,0.39999999999999997,-0.6,0.8999999999999998,0.221,0.6,-0.6,0.8999999999999998,0.243,0.6000000000000001,0.0,1.0,0.02,0.39999999999999997,-0.7999999999999999,1.0,0.229,0.39999999999999997,-0.39999999999999997,1.0,0.262
CAND_00526,screen_1000,0.49999999999999994,-0.3,0.8999999999999998,0.224,0.39999999999999997,-0.6,0.8999999999999998,0.239,0.6,-0.3,0.9999999999999999,0.17,0.7999999999999999,-0.39999999999999997,1.0,0.115,0.6000000000000001,-0.39999999999999997,1.0,0.109,0.6000000000000001,-0.19999999999999998,1.0,0.073
CAND_00579,screen_1000,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.23,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.196,0.7,-0.39999999999999997,0.9999999999999999,0.169,0.7999999999999999,0.0,1.0,0.045,0.6000000000000001,-0.39999999999999997,1.0,0.132,0.6000000000000001,-0.39999999999999997,1.0,0.127
CAND_00631,screen_1000,0.6,-0.19999999999999998,0.8999999999999998,0.103,0.3,-0.49999999999999994,0.8999999999999998,0.209,0.39999999999999997,-0.6,0.8999999999999998,0.285,0.7999999999999999,0.0,1.0,0.025,0.6000000000000001,-0.39999999999999997,1.0,0.196,0.6000000000000001,-0.39999999999999997,1.0,0.235
CAND_00743,screen_1000,0.7,-0.3,0.8999999999999998,0.1,0.3,-0.49999999999999994,0.8999999999999998,0.265,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.288,0.7999999999999999,-0.19999999999999998,1.0,0.053,0.39999999999999997,-0.7999999999999999,1.0,0.24,0.6000000000000001,-0.39999999999999997,1.0,0.089
CAND_00779,screen_1000,0.39999999999999997,-0.6,0.8999999999999998,0.3,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.192,0.7,-0.3,0.9999999999999999,0.096,0.6000000000000001,-0.39999999999999997,1.0,0.143,0.6000000000000001,-0.39999999999999997,1.0,0.133,0.7999999999999999,0.39999999999999997,1.0,0.013
CAND_01117,screen_1000,0.6,-0.19999999999999998,0.8999999999999998,0.133,0.39999999999999997,-0.6,0.8999999999999998,0.225,0.6,-0.6,0.8999999999999998,0.248,0.6000000000000001,0.0,1.0,0.029,0.7999999999999999,-0.39999999999999997,1.0,0.132,0.6000000000000001,-0.39999999999999997,1.0,0.11
CAND_01279,screen_1000,0.6,-0.3,0.8999999999999998,0.128,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.155,0.6,-0.49999999999999994,0.8999999999999998,0.22,0.6000000000000001,-0.19999999999999998,1.0,0.071,0.7999999999999999,-0.39999999999999997,1.0,0.091,0.7999999999999999,0.0,1.0,0.042
CAND_01289,screen_1000,0.6,-0.3,0.8999999999999998,0.157,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.168,0.6,-0.39999999999999997,0.8999999999999998,0.2,0.6000000000000001,0.0,0.7999999999999999,0.046,0.39999999999999997,-0.7999999999999999,1.0,0.299,0.7999999999999999,-0.19999999999999998,1.0,0.061
CAND_01347,screen_1000,0.6,-0.6,0.9999999999999999,0.207,0.49999999999999994,-0.6,0.8999999999999998,0.211,0.6,-0.3,0.8999999999999998,0.17,0.6000000000000001,-0.39999999999999997,1.0,0.134,0.6000000000000001,-0.6000000000000001,1.0,0.153,0.6000000000000001,0.0,1.0,0.029
