kind,representation,annotation,topology,scheme,delta_mae,ci95_lo,ci95_hi,code_x,code_a,code_base,family
topology_gain_vs_A,ablang1,FULL,C,shadow,-0.058564221417462384,-0.2840515784275384,0.1644100671933021,EXP-T157,EXP-T227,,
topology_gain_vs_A,ablang1,FULL,D,primary,0.23982862778651862,0.07995523464532546,0.41548024813334145,EXP-T230,EXP-T227,,
topology_gain_vs_A,ablang1,FULL,D,shadow,0.10293228243604119,-0.07522275182935927,0.2812725950170446,EXP-T230,EXP-T227,,
topology_gain_vs_A,esm1b,BASE,B1,primary,-0.23062588256082422,-0.4255756125038053,-0.02810251918839827,EXP-T251,EXP-T250,,
topology_gain_vs_A,esm1b,BASE,B1,shadow,-0.121842231279538,-0.308123786949817,0.07104236873579589,EXP-T251,EXP-T250,,
topology_gain_vs_A,esm1b,BASE,B2,primary,0.003479145191333912,-0.12754523077128846,0.1301142551280834,EXP-T252,EXP-T250,,
topology_gain_vs_A,esm1b,BASE,B2,shadow,-0.021492875652548708,-0.2517786137851668,0.21657263673382038,EXP-T252,EXP-T250,,
topology_gain_vs_A,esm1b,BASE,C,primary,-0.36858867127218364,-0.5708455697989758,-0.17102842095457488,EXP-T253,EXP-T250,,
topology_gain_vs_A,esm1b,BASE,C,shadow,-0.103889865639769,-0.29106659123926987,0.09222593542970255,EXP-T253,EXP-T250,,
topology_gain_vs_A,esm1b,BASE,D,primary,-0.1325148594232253,-0.32958050951545625,0.0615109361248251,EXP-T254,EXP-T250,,
topology_gain_vs_A,esm1b,BASE,D,shadow,-0.014391698955017844,-0.20237304310739776,0.18230923134603605,EXP-T254,EXP-T250,,
topology_gain_vs_A,esm1b,IMGT,B1,primary,-0.016950936965000482,-0.22810367419395916,0.19923422071668836,EXP-T256,EXP-T255,,
topology_gain_vs_A,esm1b,IMGT,B1,shadow,-0.14203942852255738,-0.4126975695292155,0.12056620327042934,EXP-T256,EXP-T255,,
topology_gain_vs_A,esm1b,IMGT,B2,primary,0.11986739547164348,-0.10776093683125061,0.3560299790935749,EXP-T257,EXP-T255,,
topology_gain_vs_A,esm1b,IMGT,B2,shadow,-0.22202543564784674,-0.44449491559723275,0.005162721210055656,EXP-T257,EXP-T255,,
topology_gain_vs_A,esm1b,IMGT,C,primary,0.0446033713258343,-0.18170650564594032,0.2782221947187257,EXP-T258,EXP-T255,,
topology_gain_vs_A,esm1b,IMGT,C,shadow,-0.11720473678023727,-0.3594012548894058,0.12388040813398929,EXP-T258,EXP-T255,,
topology_gain_vs_A,esm1b,IMGT,D,primary,0.07688569433895158,-0.13949917805047682,0.2754351015444155,EXP-T259,EXP-T255,,
topology_gain_vs_A,esm1b,IMGT,D,shadow,-0.22324792838390964,-0.45213247699502074,0.012099676956365121,EXP-T259,EXP-T255,,
topology_gain_vs_A,esm1b,REGION,B1,primary,0.08974861804349923,-0.12008019906503184,0.2889073913480028,EXP-T261,EXP-T260,,
topology_gain_vs_A,esm1b,REGION,B1,shadow,-0.07404169624234423,-0.30357349772512177,0.1575811450864061,EXP-T261,EXP-T260,,
topology_gain_vs_A,esm1b,REGION,B2,primary,-0.042979817331573064,-0.26072544639493206,0.1729651769002279,EXP-T262,EXP-T260,,
topology_gain_vs_A,esm1b,REGION,B2,shadow,-0.09052799366138599,-0.30428878171944324,0.11801396946848171,EXP-T262,EXP-T260,,
topology_gain_vs_A,esm1b,REGION,C,primary,0.03699133131239149,-0.1494660430484348,0.2162794637091365,EXP-T263,EXP-T260,,
topology_gain_vs_A,esm1b,REGION,C,shadow,-0.026075622181833527,-0.2607390238914961,0.20565960848772957,EXP-T263,EXP-T260,,
topology_gain_vs_A,esm1b,REGION,D,primary,0.07298714437602478,-0.11607325224228847,0.2555537453404178,EXP-T264,EXP-T260,,
topology_gain_vs_A,esm1b,REGION,D,shadow,-0.07763130282178338,-0.3429073863559299,0.18803263887946964,EXP-T264,EXP-T260,,
topology_gain_vs_A,esm1b,FULL,B1,primary,-0.019938716182002315,-0.20148929666589807,0.17150800963978707,EXP-T247,EXP-T246,,
topology_gain_vs_A,esm1b,FULL,B1,shadow,-0.10283952877845293,-0.33514236285362714,0.12312097196225759,EXP-T247,EXP-T246,,
topology_gain_vs_A,esm1b,FULL,B2,primary,0.07631730444637345,-0.07392768271175432,0.2377441653498893,EXP-T248,EXP-T246,,
topology_gain_vs_A,esm1b,FULL,B2,shadow,-0.14725621541341147,-0.3478113197985991,0.052129459381103166,EXP-T248,EXP-T246,,
topology_gain_vs_A,esm1b,FULL,C,primary,-0.02213979650426794,-0.20429151676319263,0.16720249387953015,EXP-T158,EXP-T246,,
topology_gain_vs_A,esm1b,FULL,C,shadow,-0.22215595951786749,-0.4588311701645086,-0.004489836280728765,EXP-T158,EXP-T246,,
