delta_mae,ci95_lo,ci95_hi,n,contrast,name,scheme,split,model_a,model_b,sign
0.01611671918704186,-0.29134773560512217,0.32548443947309325,162,SCRATCH_vs_ABLINGUA_ARCH-3_CONCAT,scratch_vs_ablingua,primary,val,EXP-T093,EXP-T077,delta=MAE_a-MAE_b; negative => a better
-0.061285843083887924,-0.3882621199996383,0.2543133205837674,162,SCRATCH_vs_ABLINGUA_ARCH-3_CONCAT,scratch_vs_ablingua,shadow,test,EXP-T093,EXP-T077,delta=MAE_a-MAE_b; negative => a better
0.11322873904381274,-0.20189479074360409,0.4292869096920813,162,SCRATCH_vs_ABLINGUA_ARCH-3_CONCAT,scratch_vs_ablingua,shadow,val,EXP-T093,EXP-T077,delta=MAE_a-MAE_b; negative => a better
-0.2433838549955391,-0.5103596793280707,0.031413132467387625,162,SCRATCH_vs_ABLINGUA_ARCH-3_MEAN,scratch_vs_ablingua,primary,test,EXP-T094,EXP-T081,delta=MAE_a-MAE_b; negative => a better
0.1136591875994647,-0.14797262968840422,0.3760298505241487,162,SCRATCH_vs_ABLINGUA_ARCH-3_MEAN,scratch_vs_ablingua,primary,val,EXP-T094,EXP-T081,delta=MAE_a-MAE_b; negative => a better
-0.07208934831030575,-0.40004754007598503,0.27354931713622194,162,SCRATCH_vs_ABLINGUA_ARCH-3_MEAN,scratch_vs_ablingua,shadow,test,EXP-T094,EXP-T081,delta=MAE_a-MAE_b; negative => a better
0.15373634997709298,-0.16659749348958333,0.47896626672626935,162,SCRATCH_vs_ABLINGUA_ARCH-3_MEAN,scratch_vs_ablingua,shadow,val,EXP-T094,EXP-T081,delta=MAE_a-MAE_b; negative => a better
-0.1172568945237148,-0.43893290390203027,0.1982657909393309,162,SCRATCH_vs_ABLINGUA_ARCH-4_CONCAT,scratch_vs_ablingua,primary,test,EXP-T095,EXP-T078,delta=MAE_a-MAE_b; negative => a better
-0.004046381255726756,-0.3243610440948863,0.30954698868739733,162,SCRATCH_vs_ABLINGUA_ARCH-4_CONCAT,scratch_vs_ablingua,primary,val,EXP-T095,EXP-T078,delta=MAE_a-MAE_b; negative => a better
0.13683771204065392,-0.13964124726660457,0.42170672828768496,162,SCRATCH_vs_ABLINGUA_ARCH-4_CONCAT,scratch_vs_ablingua,shadow,test,EXP-T095,EXP-T078,delta=MAE_a-MAE_b; negative => a better
