representation,topology,annotation,delta_primary,delta_shadow,delta_mean,code_x,code_base,scheme_note
esmc600m,B2,INTERACTION_FULL_IMGT_REGION,,,-0.04393774197425415,EXP-T282,EXP-T286,mean
esmc600m,C,IMGT,0.21254424106927594,0.14034049893602907,0.17644237000265273,EXP-T292,EXP-T287,
esmc600m,C,REGION,0.1358975069022481,0.181456106680411,0.15867680679132912,EXP-T297,EXP-T287,
esmc600m,C,FULL,0.2158077381275323,0.10518170580451924,0.16049472196602466,EXP-T159,EXP-T287,
esmc600m,C,INTERACTION_FULL_IMGT_REGION,-0.13263400984399176,,,EXP-T159,EXP-T287,primary
esmc600m,C,INTERACTION_FULL_IMGT_REGION,,-0.21661489981192084,,EXP-T159,EXP-T287,shadow
esmc600m,C,INTERACTION_FULL_IMGT_REGION,,,-0.1746244548279572,EXP-T159,EXP-T287,mean
esmc600m,D,IMGT,0.0867813958062067,-0.01895308788911798,0.03391415395854436,EXP-T293,EXP-T288,
esmc600m,D,REGION,-0.0933262389383196,-0.13690183192123584,-0.1151140354297775,EXP-T298,EXP-T288,
esmc600m,D,FULL,0.1023273232542441,0.11848122396586858,0.11040427361005634,EXP-T283,EXP-T288,
esmc600m,D,INTERACTION_FULL_IMGT_REGION,0.108872166386357,,,EXP-T283,EXP-T288,primary
esmc600m,D,INTERACTION_FULL_IMGT_REGION,,0.2743361437762224,,EXP-T283,EXP-T288,shadow
esmc600m,D,INTERACTION_FULL_IMGT_REGION,,,0.19160415508128947,EXP-T283,EXP-T288,mean
currab_paired,A,IMGT,0.0004910834041642609,0.17271371535312996,0.08660239937864755,EXP-T308,EXP-T303,
currab_paired,A,REGION,0.10293640325098874,0.05432248998571332,0.07862944661835147,EXP-T313,EXP-T303,
currab_paired,A,FULL,-0.02553085044578296,0.029497853031864807,0.0019835012930409235,EXP-T299,EXP-T303,
