generator,outer_val_fold,feature,n_train,mean,sd,median,iqr,min,max,skewness,fraction_zero
ESMFold,4,aromatic_exposed_SASA_total,130,577.4115388105699,184.79340020045655,554.4000285875709,260.8627523182105,158.25794355288627,1078.7609776019767,0.33995787732846755,0.0
ESMFold,4,aromatic_exposed_SASA_fraction,130,0.05287016627163194,0.016662753825000945,0.051421143643413394,0.025038809126649846,0.015197996222613811,0.09220287221885226,0.24753430185700512,0.0
ESMFold,4,strongly_exposed_aromatic_count,130,0.8461538461538461,0.8545042508922348,1.0,1.0,0.0,4.0,0.8171895959722539,0.4076923076923077
ESMFold,4,strongly_exposed_aromatic_SASA,130,141.10559942324193,144.37376715855083,142.40170967805847,208.96532871616222,0.0,657.8785802433042,0.8705104002196117,0.4076923076923077
ESMFold,4,CDR_exposed_aromatic_count,130,4.076923076923077,1.4497500294633534,4.0,2.0,1.0,8.0,0.19915254895927753,0.0
ESMFold,4,CDR_aromatic_SASA,130,405.8749264110923,154.60085088985494,383.1764117108689,189.56154558504767,74.56482198701073,877.1747410910871,0.4633677159213432,0.0
ESMFold,4,CDR_aromatic_fraction,130,0.7006006889051326,0.14105957740965966,0.7047867306488853,0.14629251016829636,0.2356631043238807,1.0,-0.48720381677940083,0.0
ESMFold,4,aromatic_patch_count,130,4.584615384615384,1.3404053083051202,5.0,1.0,2.0,8.0,0.0012156472209915615,0.0
ESMFold,4,largest_aromatic_patch_n_res,130,2.3461538461538463,1.1348435233481342,2.0,1.0,1.0,6.0,1.0302452528234343,0.0
ESMFold,4,largest_aromatic_patch_exposed_SASA,130,216.76089238641094,132.4780342748226,175.15824176383745,140.72098588272183,50.820765242143985,632.9268952823975,1.1267630946045584,0.0
ESMFold,4,max_local_aromatic_SASA,130,276.96735272674783,127.98520542852745,248.03031708042624,173.93629102688982,80.75108287764176,792.5430498703956,1.1993880831312451,0.0
ABB2,0,exposed_TYR_count,130,4.130769230769231,1.6933737900709955,4.0,2.0,0.0,10.0,0.32707456001454643,0.007692307692307693
ABB2,0,exposed_TRP_count,130,0.676923076923077,0.7566666232220269,1.0,1.0,0.0,3.0,0.9326201994075642,0.47692307692307695
ABB2,0,exposed_PHE_count,130,0.8538461538461538,0.9039361657307314,1.0,1.0,0.0,4.0,0.9162842861998042,0.4230769230769231
ABB2,0,exposed_aromatic_total_count,130,5.661538461538462,1.7696320615133798,6.0,2.0,2.0,12.0,0.6946001527463159,0.0
ABB2,0,aromatic_exposed_SASA_total,130,553.6088934893304,202.1586606821568,524.050741872605,230.97099459094295,147.31264731415004,1483.079327694597,1.2152702448538297,0.0
ABB2,0,aromatic_exposed_SASA_fraction,130,0.05276096623852402,0.01831399600041623,0.050222084447995176,0.022601630070310283,0.014491912205741668,0.12512842978132996,0.8773454841641583,0.0
ABB2,0,strongly_exposed_aromatic_count,130,0.9307692307692308,0.9781337138296469,1.0,1.0,0.0,5.0,1.3716835638281117,0.38461538461538464
ABB2,0,strongly_exposed_aromatic_SASA,130,162.51547051607463,175.69769038582191,154.41267812718948,234.90003058474767,0.0,1003.2863880815981,1.5816643822645913,0.38461538461538464
ABB2,0,CDR_exposed_aromatic_count,130,4.176923076923077,1.400359210045681,4.0,2.0,0.0,10.0,0.6077700338449951,0.007692307692307693
ABB2,0,CDR_aromatic_SASA,130,428.21639349970076,169.56354652489665,405.8793195175947,172.6100174226944,0.0,1176.4226254153616,1.1140023230641911,0.007692307692307693
ABB2,0,CDR_aromatic_fraction,130,0.7753767508490156,0.16183806091256672,0.7826275312985004,0.1855313070373441,0.0,1.0,-1.0346567176536228,0.007692307692307693
ABB2,0,aromatic_patch_count,130,4.115384615384615,1.322204542448333,4.0,2.0,1.0,9.0,0.685965526201937,0.0
ABB2,0,largest_aromatic_patch_n_res,130,2.230769230769231,1.1604936717320684,2.0,1.75,1.0,8.0,1.5808747180722844,0.0
ABB2,0,largest_aromatic_patch_exposed_SASA,130,214.0489048917128,146.0649070978675,173.4605816425053,114.37686223474248,52.185623887310754,1003.2863880815981,2.126242073392024,0.0
