id,generator,extraction_status,pdb_path,error
ADI-47189,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47189.pdb,
ADI-47190,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47190.pdb,
ADI-47191,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47191.pdb,
ADI-47192,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47192.pdb,
ADI-47193,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47193.pdb,
ADI-47195,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47195.pdb,
ADI-47194,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47194.pdb,
ADI-47196,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47196.pdb,
ADI-47197,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47197.pdb,
ADI-47198,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47198.pdb,
ADI-47199,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47199.pdb,
ADI-47201,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47201.pdb,
ADI-47200,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47200.pdb,
ADI-47202,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47202.pdb,
ADI-47203,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47203.pdb,
ADI-47206,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47206.pdb,
ADI-47204,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47204.pdb,
ADI-47205,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47205.pdb,
ADI-47207,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47207.pdb,
ADI-47208,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47208.pdb,
ADI-47209,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47209.pdb,
ADI-47212,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47212.pdb,
ADI-47215,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47215.pdb,
ADI-47213,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47213.pdb,
ADI-47214,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47214.pdb,
ADI-47216,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47216.pdb,
ADI-47218,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47218.pdb,
ADI-47220,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47220.pdb,
ADI-47219,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47219.pdb,
ADI-47221,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47221.pdb,
ADI-47217,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47217.pdb,
ADI-47222,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47222.pdb,
ADI-47223,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47223.pdb,
ADI-47224,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47224.pdb,
ADI-47225,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47225.pdb,
ADI-47226,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47226.pdb,
ADI-47227,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47227.pdb,
ADI-47228,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47228.pdb,
ADI-47229,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47229.pdb,
ADI-47230,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47230.pdb,
ADI-47231,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47231.pdb,
ADI-47232,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47232.pdb,
ADI-47234,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47234.pdb,
ADI-47233,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47233.pdb,
ADI-47236,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47236.pdb,
ADI-47235,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47235.pdb,
ADI-47237,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47237.pdb,
ADI-47238,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47238.pdb,
ADI-47240,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47240.pdb,
ADI-47239,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47239.pdb,
ADI-47241,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47241.pdb,
ADI-47246,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47246.pdb,
ADI-47244,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47244.pdb,
ADI-47243,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47243.pdb,
ADI-47248,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47248.pdb,
ADI-47247,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47247.pdb,
ADI-47249,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47249.pdb,
ADI-47250,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47250.pdb,
ADI-47252,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47252.pdb,
