id,DELTA_GEOM__K_all_bb_mean,DELTA_GEOM__K_all_bb_median,DELTA_GEOM__K_all_bb_q90,DELTA_GEOM__K_all_bb_iqr,DELTA_GEOM__K_all_bb_frac_neg,DELTA_GEOM__K_FW_mean,DELTA_GEOM__K_FW_median,DELTA_GEOM__K_FW_q90,DELTA_GEOM__K_CDR_mean,DELTA_GEOM__K_CDR_median,DELTA_GEOM__K_CDR_q90,DELTA_GEOM__K_HCDR3_mean,DELTA_GEOM__K_HCDR3_median,DELTA_GEOM__K_HCDR3_q90,DELTA_GEOM__K_chi1_mean,DELTA_GEOM__K_chi1_median,DELTA_GEOM__K_chi1_q90
ADI-45395,-2.1865005062563014,1.3524745399523486,0.7914480641202459,-13.70006617322101,0.0,-12.634964644314294,-5.698426061665893,-27.229820737707257,-0.607361251737867,0.0500916496278645,-1.2522912406966213,-7.556102716809498,-0.5009164962786468,-23.142342128073516,-2.383026744962949,-2.580721788827594,-1.6157562503964051
ADI-45397,-2.315486504048053,-1.2522912406966178,-10.48418226711209,-0.6010997955343811,0.0,-17.400772128583135,-15.553457209452006,-30.280402200044236,-1.4954583709456628,-2.7049490799046954,-0.6612097750877695,-3.269398485128022,-2.1559445999832985,-3.346122195141369,-0.3766892052015436,-0.8375323817778959,0.9184804875765344
ADI-45402,-3.4901356878214784,-0.025045824813933137,-1.0919979618874436,-11.345758640711374,0.0,-13.015679377170763,-13.134030532426136,-11.34475680771881,-12.897653603571094,-4.783752539461085,-27.991213812050802,4.470679729286935,5.685402232762652,7.288335020854333,-1.1821629312176114,-0.5409898159809394,-11.808004383477304
ADI-45404,-1.2936168516396052,-0.07513747444179586,5.089311602191032,-4.996642050379521,0.0,-18.400762904395275,-16.37996942831177,0.8515580436737196,1.8747389186753391,-1.1270621166269557,12.182289189496714,-0.3538975046208641,-0.9016496933015663,12.037023405575908,-1.5641952457127886,-0.5570191438618579,-8.685491312274724
ADI-45405,-1.5879052932033133,0.100183299255729,-17.862682257296584,-9.279478093561949,0.0,-14.518994516327115,-1.6279786129056042,-34.67343987240797,-9.722367368350632,-1.4526578392080811,-6.782409359612899,8.878744896539025,4.032377795043111,29.468917476072818,-2.425771619312064,-0.9777890007359158,-5.756933108431239
ADI-45406,1.0882410881653684,-0.9016496933015645,-3.5915712783179004,5.434943984623331,0.0,-11.918686892495025,-23.242525427329248,-4.03738696000589,-1.604101593249645,-3.302041543468846,-5.555163943730207,0.5292461070126251,-5.760539707204442,-0.7463655794551727,-7.08763447801201,0.9096643572420238,-1.25269197389364
ADI-45407,-7.954553960904917,-0.8014663940458373,-32.50447144352138,-3.218388488590314,0.0,-3.5662749952558244,0.025045824813933137,-13.474653749895595,-2.8819534896036068,-1.402566189580213,-5.605255593358059,-39.579643726277546,-25.146008113188103,-85.01554774841203,0.6545308884707701,-2.0317173089061917,13.507914605248516
ADI-45408,-0.7789251517132953,0.9266955181154977,5.7354938823905,3.393709262287828,0.0,-14.456710173859442,-4.157606919112773,-68.97620153756975,-2.5358341050221718,1.3023828903244787,-19.93146738692733,0.9580027991329132,-2.0287118099285237,5.600246428395266,-1.878770805375778,-0.5530118118916283,-5.407493760627251
ADI-45409,-3.4012230097320213,-0.651191445162242,-0.6862555999017559,-2.967930240450997,0.0,-0.8180517392376174,1.9415523395760381,2.8301782039743983,-7.29657067736666,0.45082484665078404,-11.315703650934637,-8.035251608455418,-4.182652743926706,-5.159439911670063,-4.530288792344081,0.7133050907007945,-0.7854370661649028
ADI-45410,-0.28677469411952217,1.3274287151384172,-8.149911394453582,2.8427011163813276,0.0,-6.184732493469738,0.07513747444179586,-19.375450076058073,-4.982791709257398,-0.3436287164471512,-3.0706181221880655,2.592242868241989,1.6029327880916693,-3.811974536680509,0.1930198232327065,0.7974590620756068,-0.8631793063873623
